,Goodreads_BookID,Genres,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,BookID
0,2657,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']",Classics,Fiction,Historical Fiction,School,Literature,Young Adult,Historical,4.0
1,11870085,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Novels']",Young Adult,Fiction,Contemporary,Realistic Fiction,Teen,Coming Of Age,Novels,6.0
2,3,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",Fantasy,Fiction,Young Adult,Magic,Childrens,Middle Grade,Audiobook,2.0
3,2767052,"['Young Adult', 'Fiction', 'Fantasy', 'Science Fiction', 'Teen', 'Audiobook', 'Post Apocalyptic']",Young Adult,Fiction,Fantasy,Science Fiction,Teen,Audiobook,Post Apocalyptic,1.0
4,960,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adventure', 'Crime']",Fiction,Mystery,Thriller,Mystery Thriller,Suspense,Adventure,Crime,9.0
5,5107,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Coming Of Age', 'Novels']",Classics,Fiction,Young Adult,Literature,School,Coming Of Age,Novels,8.0
6,13335037,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Teen']",Young Adult,Dystopia,Fantasy,Fiction,Science Fiction,Romance,Teen,12.0
7,5907,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy']",Fantasy,Classics,Fiction,Adventure,Young Adult,High Fantasy,Science Fiction Fantasy,7.0
8,4671,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Romance', 'Literature', 'Novels']",Classics,Fiction,School,Historical Fiction,Romance,Literature,Novels,5.0
9,77203,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'Literature', 'School']",Fiction,Historical Fiction,Contemporary,Novels,Historical,Literature,School,11.0
10,5470,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels']",Classics,Fiction,Science Fiction,Dystopia,Literature,Politics,Novels,13.0
11,1885,"['Fiction', 'Historical Fiction', 'Historical', 'Literature', 'Audiobook', 'Novels', 'Historical Romance']",Fiction,Historical Fiction,Historical,Literature,Audiobook,Novels,Historical Romance,10.0
12,2429135,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']",Fiction,Mystery,Thriller,Crime,Mystery Thriller,Suspense,Contemporary,16.0
13,6148028,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Audiobook']",Young Adult,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Audiobook,17.0
14,41865,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance']",Fantasy,Young Adult,Romance,Fiction,Vampires,Paranormal,Paranormal Romance,3.0
15,7613,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction']",Classics,Fiction,Dystopia,Fantasy,School,Literature,Science Fiction,14.0
16,2,"['Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure', 'Middle Grade']",Young Adult,Fiction,Magic,Childrens,Audiobook,Adventure,Middle Grade,21.0
17,12232938,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Thriller']",Fiction,Mystery,Young Adult,Contemporary,Fantasy,Crime,Thriller,22.0
18,7260188,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']",Young Adult,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,20.0
19,968,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']",Fiction,Mystery,Thriller,Mystery Thriller,Historical Fiction,Suspense,Adventure,26.0
20,48855,"['Classics', 'Nonfiction', 'Biography', 'Memoir', 'Historical', 'Holocaust', 'Autobiography']",Classics,Nonfiction,Biography,Memoir,Historical,Holocaust,Autobiography,15.0
21,136251,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']",Fantasy,Young Adult,Fiction,Magic,Childrens,Adventure,Audiobook,25.0
22,5,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",Fantasy,Fiction,Young Adult,Magic,Childrens,Middle Grade,Audiobook,18.0
23,15881,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",Fantasy,Fiction,Young Adult,Magic,Childrens,Middle Grade,Audiobook,23.0
24,18135,"['Classics', 'Plays', 'Fiction', 'School', 'Drama', 'Read For School', 'Literature']",Classics,Plays,Fiction,School,Drama,Read For School,Literature,29.0
25,6,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade']",Fantasy,Young Adult,Fiction,Magic,Childrens,Audiobook,Middle Grade,24.0
26,34,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']",Fantasy,Classics,Fiction,Adventure,High Fantasy,Science Fiction Fantasy,Epic Fantasy,19.0
27,930,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Japan', 'Adult', 'Novels']",Fiction,Historical Fiction,Romance,Historical,Japan,Adult,Novels,33.0
28,7624,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School']",Classics,Fiction,Young Adult,School,Literature,Dystopia,Read For School,28.0
29,100915,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Middle Grade', 'Adventure']",Fantasy,Fiction,Young Adult,Childrens,Classics,Middle Grade,Adventure,37.0
30,1,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure']",Fantasy,Young Adult,Fiction,Magic,Childrens,Audiobook,Adventure,27.0
31,13496,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Science Fiction Fantasy', 'Adventure']",Fantasy,Fiction,Epic Fantasy,High Fantasy,Adult,Science Fiction Fantasy,Adventure,39.0
32,8442457,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary']",Fiction,Mystery,Thriller,Mystery Thriller,Crime,Suspense,Contemporary,30.0
