Goodreads_BookID	Genres
2657	['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']
11870085	['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Novels']
3	['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']
2767052	['Young Adult', 'Fiction', 'Fantasy', 'Science Fiction', 'Teen', 'Audiobook', 'Post Apocalyptic']
960	['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adventure', 'Crime']
5107	['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Coming Of Age', 'Novels']
13335037	['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Teen']
5907	['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy']
4671	['Classics', 'Fiction', 'School', 'Historical Fiction', 'Romance', 'Literature', 'Novels']
77203	['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'Literature', 'School']
5470	['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels']
1885	['Fiction', 'Historical Fiction', 'Historical', 'Literature', 'Audiobook', 'Novels', 'Historical Romance']
2429135	['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']
6148028	['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Audiobook']
41865	['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance']
7613	['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction']
2	['Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure', 'Middle Grade']
12232938	['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Thriller']
7260188	['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']
968	['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']
48855	['Classics', 'Nonfiction', 'Biography', 'Memoir', 'Historical', 'Holocaust', 'Autobiography']
136251	['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']
5	['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']
15881	['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']
18135	['Classics', 'Plays', 'Fiction', 'School', 'Drama', 'Read For School', 'Literature']
6	['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade']
34	['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']
930	['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Japan', 'Adult', 'Novels']
7624	['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School']
100915	['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Middle Grade', 'Adventure']
1	['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure']
13496	['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Science Fiction Fantasy', 'Adventure']
8442457	['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary']
19501	['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Romance', 'Chick Lit', 'Spirituality']
